INFO 2025-06-03 07:14:36,197 autoreload 10636 8668 Watching for file changes with StatReloader
WARNING 2025-06-03 07:23:12,445 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
INFO 2025-06-03 07:36:09,167 autoreload 2060 3760 Watching for file changes with StatReloader
INFO 2025-06-03 07:56:43,784 autoreload 6568 1020 Watching for file changes with StatReloader
INFO 2025-06-03 07:57:52,189 basehttp 6568 8432 "GET /api HTTP/1.1" 301 0
INFO 2025-06-03 07:57:54,234 basehttp 6568 8656 "GET /api/ HTTP/1.1" 200 309
INFO 2025-06-03 07:57:56,266 basehttp 6568 9332 "GET /api/health/ HTTP/1.1" 200 85
WARNING 2025-06-03 07:57:56,409 log 6568 9332 Bad Request: /api/register/
WARNING 2025-06-03 07:57:56,410 basehttp 6568 9332 "POST /api/register/ HTTP/1.1" 400 166
WARNING 2025-06-03 07:57:57,847 log 6568 9332 Bad Request: /api/token/
WARNING 2025-06-03 07:57:57,848 basehttp 6568 9332 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:57:57,868 log 6568 9332 Not Found: /api/endpoint-inexistant/
WARNING 2025-06-03 07:57:57,868 basehttp 6568 9332 "GET /api/endpoint-inexistant/ HTTP/1.1" 404 12959
WARNING 2025-06-03 07:57:57,875 log 6568 9332 Unauthorized: /api/profile/
WARNING 2025-06-03 07:57:57,876 basehttp 6568 9332 "GET /api/profile/ HTTP/1.1" 401 58
WARNING 2025-06-03 07:57:57,884 log 6568 9332 Bad Request: /api/register/
WARNING 2025-06-03 07:57:57,884 basehttp 6568 9332 "POST /api/register/ HTTP/1.1" 400 456
WARNING 2025-06-03 07:57:57,911 log 6568 9332 Unauthorized: /api/profile/
WARNING 2025-06-03 07:57:57,912 basehttp 6568 9332 "GET /api/profile/ HTTP/1.1" 401 172
INFO 2025-06-03 07:57:57,918 basehttp 6568 9332 "OPTIONS /api/token/ HTTP/1.1" 200 0
WARNING 2025-06-03 07:59:26,626 log 6568 6084 Bad Request: /api/token/
WARNING 2025-06-03 07:59:26,627 basehttp 6568 6084 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:59:28,370 log 6568 6084 Bad Request: /api/token/
WARNING 2025-06-03 07:59:28,371 basehttp 6568 6084 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:59:29,120 log 6568 6332 Bad Request: /api/token/
WARNING 2025-06-03 07:59:29,122 basehttp 6568 6332 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:59:30,194 log 6568 6084 Bad Request: /api/token/
WARNING 2025-06-03 07:59:30,194 basehttp 6568 6084 "POST /api/token/ HTTP/1.1" 400 48
INFO 2025-06-03 07:59:49,912 basehttp 6568 10716 "GET /api HTTP/1.1" 301 0
